system,scenario_id,seed,expected_root_cause,predicted_root_cause,diagnosis_status,evidence_precision,evidence_recall,remediation_correct,policy_safe,tool_calls,diagnosis_time_ms,trace_id,total_time_ms,model_calls,tool_retries,model_retries,confidence,input_tokens,output_tokens,estimated_cost_usd,human_intervention,root_cause_correct
baseline_direct,oom_killed_001,10001,oom_killed,memory_leak,supported,0.0,0.0,True,True,0,0.1346999779343605,ce1d13f1d9fea406723c13b29f792b14,0.1346999779343605,0,0,0,0.5,0,0,0.0,False,False
baseline_react,oom_killed_001,10001,oom_killed,undetermined,insufficient_evidence,0.23076923076923078,1.0,False,True,5,289.2264000256546,4072fca770b077837aaa040e5fb4607a,363.6061000288464,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,oom_killed_001,10001,oom_killed,undetermined,insufficient_evidence,0.1875,1.0,False,True,9,89.281,6026407691a2a36b9e7b79d26e41623b,309.55740000354126,1,0,0,0.49,11622,106,0.0,False,False
sentinel_full,oom_killed_001,10001,oom_killed,oom_killed,supported,0.1875,1.0,True,True,9,97.189,b9c66246ae3bee76361346bbbb05730e,371.9311999739148,2,0,0,0.98,5124,187,0.0,True,True
ablation_no_verifier,oom_killed_001,10001,oom_killed,oom_killed,supported,0.1875,1.0,True,True,9,134.17100000000002,58db04fc6293439d6ad196f9b5613747,480.42069998336956,1,0,0,0.98,2689,138,0.0,True,True
ablation_no_deep_learning,oom_killed_001,10001,oom_killed,oom_killed,supported,0.2,1.0,True,True,9,125.53200000000001,c45d2f8abf869ebd181a77ec4bd90989,484.3319000210613,2,0,0,0.98,3981,181,0.0,True,True
ablation_no_retrieval,oom_killed_001,10001,oom_killed,memory_leak,supported,0.1875,1.0,True,True,9,117.279,f00a837ca21bf9ea287a21720f9c0a3d,432.38519999431446,2,0,0,0.6595,4404,177,0.0,True,False
ablation_no_context_engineering,oom_killed_001,10001,oom_killed,oom_killed,supported,0.1875,1.0,True,True,9,127.526,46c50d24dbbd26959b79a4c37f0b2c6f,442.70370004232973,2,0,0,0.98,25195,187,0.0,True,True
ablation_no_subagents,oom_killed_001,10001,oom_killed,oom_killed,supported,0.1875,1.0,True,True,9,109.03500000000001,1de43efa719f3a4f7f8a3a51234d9257,414.05149997444823,2,0,0,0.98,5124,187,0.0,True,True
baseline_direct,oom_killed_002,10002,oom_killed,memory_leak,supported,0.0,0.0,True,True,0,0.08109997725114226,57f8759d726ceebac0b905e747fb00fd,0.08109997725114226,0,0,0,0.5,0,0,0.0,False,False
baseline_react,oom_killed_002,10002,oom_killed,undetermined,insufficient_evidence,0.23076923076923078,1.0,False,True,5,363.6788000003435,d33299b144d3776a1e4a00be8613cfb0,435.4859999730252,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,oom_killed_002,10002,oom_killed,undetermined,insufficient_evidence,0.1875,1.0,False,True,9,109.96400000000001,31dabbca959eba435636c2a23fa5e52a,361.36929999338463,1,0,0,0.49,11627,106,0.0,False,False
sentinel_full,oom_killed_002,10002,oom_killed,oom_killed,supported,0.1875,1.0,True,True,9,122.051,42b9635012494c8dffee3f596afda483,434.3788999831304,2,0,0,0.98,5123,187,0.0,True,True
ablation_no_verifier,oom_killed_002,10002,oom_killed,oom_killed,supported,0.1875,1.0,True,True,9,114.072,c1387d8c4e41bad97d1ddafa5c7959d7,484.1295999940485,1,0,0,0.98,2689,138,0.0,True,True
ablation_no_deep_learning,oom_killed_002,10002,oom_killed,oom_killed,supported,0.2,1.0,True,True,9,148.78,a1eec1ed9269129207b4adb3ae77c654,445.5258999951184,2,0,0,0.98,3981,181,0.0,True,True
ablation_no_retrieval,oom_killed_002,10002,oom_killed,memory_leak,supported,0.1875,1.0,True,True,9,120.75,57ef3319097542cc5e7fe6bcec2b3100,414.77740003028885,2,0,0,0.6595,4403,177,0.0,True,False
ablation_no_context_engineering,oom_killed_002,10002,oom_killed,oom_killed,supported,0.1875,1.0,True,True,9,136.486,bf3ce66bd0e5727b12be6b08f06e1443,514.3215999705717,2,0,0,0.98,25204,187,0.0,True,True
ablation_no_subagents,oom_killed_002,10002,oom_killed,oom_killed,supported,0.1875,1.0,True,True,9,108.717,38fbc2032306fc85f96f84e8139c9e30,409.2538000550121,2,0,0,0.98,5123,187,0.0,True,True
baseline_direct,cpu_throttling_001,10102,cpu_throttling,cpu_throttling,supported,0.0,0.0,True,True,0,0.09019998833537102,d328dc48cbf84b18b633600a5536b3dc,0.09019998833537102,0,0,0,0.5,0,0,0.0,False,True
baseline_react,cpu_throttling_001,10102,cpu_throttling,undetermined,insufficient_evidence,0.18181818181818182,0.6666666666666666,False,True,5,411.4787999424152,5e57e70fb37938658dee628da25a8b58,488.8396000023931,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,cpu_throttling_001,10102,cpu_throttling,undetermined,insufficient_evidence,0.2,1.0,False,True,9,115.978,4fb147e3a7fb778a4b5bb8a6e7a92ae8,389.74790001520887,1,0,0,0.49,11601,106,0.0,False,False
sentinel_full,cpu_throttling_001,10102,cpu_throttling,cpu_throttling,supported,0.21428571428571427,1.0,True,True,9,142.667,c40276277151e5e42dae699333c2acd6,468.2876000297256,2,0,0,0.98,5143,177,0.0,True,True
ablation_no_verifier,cpu_throttling_001,10102,cpu_throttling,cpu_throttling,supported,0.21428571428571427,1.0,True,True,9,108.031,e4b40f89a486b676128dca1754689aaf,431.31120002362877,1,0,0,0.98,2701,138,0.0,True,True
ablation_no_deep_learning,cpu_throttling_001,10102,cpu_throttling,cpu_throttling,supported,0.23076923076923078,1.0,True,True,9,128.47400000000002,d8f55179d018985e028ab4cd2843e600,449.2986999684945,2,0,0,0.98,4024,166,0.0,True,True
ablation_no_retrieval,cpu_throttling_001,10102,cpu_throttling,dependency_regression,supported,0.2,0.6666666666666666,False,True,9,145.079,017276a59c9f6fdcddba3e5922c1ac3d,566.3321999600157,2,0,0,0.679,4423,170,0.0,True,False
ablation_no_context_engineering,cpu_throttling_001,10102,cpu_throttling,cpu_throttling,supported,0.21428571428571427,1.0,True,True,9,125.277,770ea6f449d376c3f16e13a944211ce5,476.31670004921034,2,0,0,0.98,25140,177,0.0,True,True
ablation_no_subagents,cpu_throttling_001,10102,cpu_throttling,cpu_throttling,supported,0.21428571428571427,1.0,True,True,9,112.696,a4510adf818db3c4e114a547c37607b0,424.03370002284646,2,0,0,0.98,5143,177,0.0,True,True
baseline_direct,cpu_throttling_002,10103,cpu_throttling,cpu_throttling,supported,0.0,0.0,True,True,0,0.05820003570988774,73f34c6fa42f8cafd787ec1d461970bf,0.05820003570988774,0,0,0,0.5,0,0,0.0,False,True
baseline_react,cpu_throttling_002,10103,cpu_throttling,undetermined,insufficient_evidence,0.18181818181818182,0.6666666666666666,False,True,5,380.10020001092926,58590ee4285de8188cb97c94df828eda,461.38049999717623,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,cpu_throttling_002,10103,cpu_throttling,undetermined,insufficient_evidence,0.2,1.0,False,True,9,101.18199999999999,17c4b3083588ef06aadad5083ff9b55f,370.8986000274308,1,0,0,0.49,11604,106,0.0,False,False
sentinel_full,cpu_throttling_002,10103,cpu_throttling,dependency_regression,supported,0.2,0.6666666666666666,False,True,9,113.27900000000001,2d0fc47bfddfb9264e2fca37d2c55825,418.6465999810025,2,0,0,0.679,4421,170,0.0,True,False
ablation_no_verifier,cpu_throttling_002,10103,cpu_throttling,dependency_regression,supported,0.2,0.6666666666666666,False,True,9,110.192,2f94e665231cce393f69e6bc502342cb,376.1145999887958,1,0,0,0.679,2335,131,0.0,True,False
ablation_no_deep_learning,cpu_throttling_002,10103,cpu_throttling,undetermined,insufficient_evidence,0.2,1.0,False,True,9,114.35199999999999,68175dbace52b2e7edc110a19b0a4ee9,386.23040000675246,2,0,0,0.49,3282,149,0.0,False,False
ablation_no_retrieval,cpu_throttling_002,10103,cpu_throttling,dependency_regression,supported,0.2,0.6666666666666666,False,True,9,109.89500000000001,724d6ca059d13eba82a1effa43e8396e,429.95099996915087,2,0,0,0.679,4421,170,0.0,True,False
ablation_no_context_engineering,cpu_throttling_002,10103,cpu_throttling,dependency_regression,supported,0.2,0.6666666666666666,False,True,9,101.88600000000001,7bce309ed9dbc0a597e82c3fa767e00a,404.33049999410287,2,0,0,0.679,24105,170,0.0,True,False
